Gage,PoR Mean Wind Speed (mph),Event,Event Start Date,Event End Date
NBG,7.36,2012-03-23,3-16,3-30
NBG,7.23,2017-01-03,12-27,1-10
NBG,7.58,2004-02-26,2-19,3-4
NBG,7.27,2019-01-06,12-30,1-13
NBG,7.42,2016-02-05,1-29,2-12
NBG,5.63,2002-10-30,10-23,11-6
NBG,6.12,2008-05-16,5-9,5-23
NBG,7.36,2014-03-31,3-24,4-7
NBG,7.45,2004-02-06,1-30,2-13
NBG,7.08,2012-12-31,12-24,1-7
NBG,7.28,2015-01-05,12-29,1-12
NBG,6.69,2007-05-05,4-28,5-12
BXA,3.1,2016-08-14,8-7,8-21
BXA,5.8,2016-03-13,3-6,3-20
BXA,6.12,2003-02-24,2-17,3-3
BXA,5.81,2009-03-30,3-23,4-6
BXA,4.04,2015-10-28,10-21,11-4
BXA,4.74,2019-05-12,5-5,5-19
BXA,4.7,2004-05-17,5-10,5-24
BXA,5.36,2013-01-11,1-4,1-18
BXA,4.04,2006-10-29,10-22,11-5
BXA,6.0,2012-02-20,2-13,2-27
BXA,5.97,2004-02-14,2-7,2-21
BXA,5.97,2013-02-14,2-7,2-21
BXA,5.84,2011-03-10,3-3,3-17
BXA,5.6,2018-01-29,1-22,2-5
BXA,5.44,2019-04-20,4-13,4-27
BXA,6.09,2014-02-23,2-16,3-2
BXA,5.51,2018-12-29,12-22,1-5
BXA,4.28,2015-11-20,11-13,11-27
BXA,5.19,2009-12-19,12-12,12-26
BXA,5.89,2015-03-04,2-25,3-11
BXA,5.59,2005-02-02,1-26,2-9
BXA,4.19,2002-11-07,10-31,11-14
BXA,5.41,2017-01-22,1-15,1-29
BXA,5.57,2012-01-28,1-21,2-4
BXA,5.48,2013-04-16,4-9,4-23
BXA,5.59,2003-04-09,4-2,4-16
BXA,5.82,2017-04-05,3-29,4-12
BXA,5.58,2002-04-10,4-3,4-17
BXA,5.45,2007-01-01,12-25,1-8
BXA,4.0,2017-10-24,10-17,10-31
BXA,3.62,2004-06-27,6-20,7-4
BXA,5.81,2010-02-06,1-30,2-13
BXA,5.8,2012-03-23,3-16,3-30
BXA,5.53,2017-01-03,12-27,1-10
BXA,6.09,2004-02-26,2-19,3-4
BXA,5.51,2019-01-06,12-30,1-13
BXA,5.79,2016-02-05,1-29,2-12
BXA,4.04,2002-10-30,10-23,11-6
BXA,4.72,2008-05-16,5-9,5-23
BXA,5.85,2014-03-31,3-24,4-7
BXA,5.81,2004-02-06,1-30,2-13
BXA,5.57,2012-12-31,12-24,1-7
BXA,5.51,2015-01-05,12-29,1-12
BXA,5.07,2007-05-05,4-28,5-12
ASD,3.39,2016-08-14,8-7,8-21
ASD,6.24,2016-03-13,3-6,3-20
ASD,6.66,2003-02-24,2-17,3-3
ASD,6.38,2009-03-30,3-23,4-6
ASD,4.39,2015-10-28,10-21,11-4
ASD,5.19,2019-05-12,5-5,5-19
ASD,5.31,2004-05-17,5-10,5-24
ASD,5.44,2013-01-11,1-4,1-18
ASD,4.3,2006-10-29,10-22,11-5
ASD,6.51,2012-02-20,2-13,2-27
ASD,6.48,2004-02-14,2-7,2-21
ASD,6.48,2013-02-14,2-7,2-21
ASD,6.25,2011-03-10,3-3,3-17
ASD,5.49,2018-01-29,1-22,2-5
ASD,6.07,2019-04-20,4-13,4-27
ASD,6.63,2014-02-23,2-16,3-2
ASD,5.67,2018-12-29,12-22,1-5
ASD,4.33,2015-11-20,11-13,11-27
ASD,5.31,2009-12-19,12-12,12-26
ASD,6.25,2015-03-04,2-25,3-11
ASD,5.72,2005-02-02,1-26,2-9
ASD,4.59,2002-11-07,10-31,11-14
ASD,5.49,2017-01-22,1-15,1-29
ASD,5.52,2012-01-28,1-21,2-4
ASD,6.11,2013-04-16,4-9,4-23
ASD,6.09,2003-04-09,4-2,4-16
ASD,6.18,2017-04-05,3-29,4-12
ASD,6.09,2002-04-10,4-3,4-17
ASD,5.82,2007-01-01,12-25,1-8
ASD,4.4,2017-10-24,10-17,10-31
ASD,4.3,2004-06-27,6-20,7-4
ASD,6.04,2010-02-06,1-30,2-13
ASD,6.32,2012-03-23,3-16,3-30
ASD,6.01,2017-01-03,12-27,1-10
ASD,6.54,2004-02-26,2-19,3-4
ASD,5.84,2019-01-06,12-30,1-13
ASD,5.9,2016-02-05,1-29,2-12
ASD,4.28,2002-10-30,10-23,11-6
ASD,5.34,2008-05-16,5-9,5-23
ASD,6.43,2014-03-31,3-24,4-7
ASD,6.04,2004-02-06,1-30,2-13
ASD,5.75,2012-12-31,12-24,1-7
ASD,5.98,2015-01-05,12-29,1-12
ASD,5.28,2007-05-05,4-28,5-12
HDC,3.0,2016-08-14,8-7,8-21
HDC,5.95,2016-03-13,3-6,3-20
HDC,6.19,2003-02-24,2-17,3-3
HDC,6.0,2009-03-30,3-23,4-6
HDC,4.34,2015-10-28,10-21,11-4
HDC,4.91,2019-05-12,5-5,5-19
HDC,4.9,2004-05-17,5-10,5-24
HDC,5.33,2013-01-11,1-4,1-18
HDC,4.33,2006-10-29,10-22,11-5
HDC,5.89,2012-02-20,2-13,2-27
